year,latitude,longitude,wspd,wdir,number,wspd_kmh
2020,37.0,-9.0,3.7832394,256.6666,0,13.619661
2020,37.0,-8.75,3.023506,250.29839,0,10.884621
2020,37.0,-8.5,2.564529,245.08197,0,9.232304
2020,37.0,-8.25,2.3013465,241.8951,0,8.284847
2020,37.0,-8.0,2.084641,238.12947,0,7.5047073
2020,37.0,-7.75,1.8755268,228.2867,0,6.7518964
2020,37.0,-7.5,1.8640981,221.23827,0,6.710753
2020,37.0,-7.25,1.9582634,216.71724,0,7.049748
2020,37.0,-7.0,2.1146934,213.9701,0,7.612896
2020,37.0,-6.75,2.086691,241.9186,0,7.512087
2020,37.0,-6.5,1.6953305,208.55672,0,6.1031895
2020,37.0,-6.25,1.3729731,204.44557,0,4.942703
2020,37.0,-6.0,1.0911362,199.31996,0,3.9280903
2020,37.0,-5.75,1.0521758,194.50452,0,3.7878327
2020,37.0,-5.5,1.140957,190.4549,0,4.1074452
2020,37.0,-5.25,1.2184027,191.04091,0,4.3862495
2020,37.0,-5.0,1.2925422,201.26671,0,4.653152
2020,37.0,-4.75,0.9748966,198.00153,0,3.5096278
2020,37.0,-4.5,0.806982,196.69084,0,2.9051352
2020,37.0,-4.25,0.7109287,204.54608,0,2.559343
2020,37.0,-4.0,0.7034319,238.38411,0,2.5323548
2020,37.0,-3.75,0.65204495,218.92891,0,2.3473618
2020,37.0,-3.5,0.61760396,216.16992,0,2.2233741
2020,37.0,-3.25,0.5778932,261.26285,0,2.0804155
2020,37.0,-3.0,0.5090048,264.48642,0,1.8324171
2020,37.0,-2.75,0.4602218,220.20964,0,1.6567985
2020,37.0,-2.5,0.53725064,166.22441,0,1.9341023
2020,37.0,-2.25,0.6794822,152.14886,0,2.446136
2020,37.0,-2.0,0.9663582,116.775734,0,3.4788895
2020,37.0,-1.75,1.4090592,121.68429,0,5.072613
2020,37.0,-1.5,1.6685926,124.698006,0,6.006933
2020,37.0,-1.25,1.7300473,125.93576,0,6.2281704
2020,37.0,-1.0,1.7678999,126.51206,0,6.3644395
2020,37.0,-0.75,1.8516216,127.69492,0,6.665838
2020,37.0,-0.5,1.9291363,128.03047,0,6.9448905
2020,37.0,-0.25,2.0027087,128.80464,0,7.209751
2020,37.0,0.0,2.0887976,130.25537,0,7.519671
2020,37.0,0.25,2.1517382,131.75331,0,7.7462573
2020,37.0,0.5,2.2125878,133.33849,0,7.965316
2020,37.0,0.75,2.2557356,135.3036,0,8.120648
2020,37.0,1.0,2.2735033,136.87595,0,8.184611
2020,37.0,1.25,2.2101312,137.14125,0,7.956472
2020,37.0,1.5,2.1341202,136.63568,0,7.6828327
2020,37.0,1.75,2.0905597,136.2624,0,7.526015
2020,37.0,2.0,2.069333,134.77429,0,7.449599
2020,37.0,2.25,2.0530028,132.739,0,7.39081
2020,37.0,2.5,2.0986497,127.45208,0,7.555139
2020,37.0,2.75,2.1401937,96.299095,0,7.704697
2020,37.0,3.0,2.130039,97.74297,0,7.66814
2020,37.0,3.25,2.129053,100.54792,0,7.664591
2020,37.0,3.5,2.0787647,103.95321,0,7.4835525
2020,37.0,3.75,2.00478,106.56909,0,7.217208
2020,37.0,4.0,1.8068177,142.7758,0,6.5045433
2020,37.0,4.25,1.7317295,152.8988,0,6.234226
2020,37.0,4.5,1.6193987,162.76955,0,5.8298354
2020,37.0,4.75,1.4954582,181.64386,0,5.3836493
2020,37.0,5.0,1.5607014,189.52019,0,5.6185246
2020,37.0,5.25,1.6321273,156.85872,0,5.875658
2020,37.0,5.5,1.5521593,152.6872,0,5.5877733
2020,37.0,5.75,1.4265922,182.98529,0,5.1357317
2020,37.0,6.0,1.263282,215.42934,0,4.547815
2020,37.0,6.25,0.9496382,216.48175,0,3.4186974
2020,37.0,6.5,0.9638057,242.14229,0,3.4697003
2020,37.0,6.75,1.1645896,253.34857,0,4.1925225
2020,37.0,7.0,1.4405379,229.80446,0,5.1859365
2020,37.0,7.25,1.2460437,228.80847,0,4.4857574
2020,37.0,7.5,1.1878419,229.33421,0,4.276231
2020,37.0,7.75,1.2948681,232.35558,0,4.6615252
2020,37.0,8.0,1.6212149,207.73088,0,5.8363733
2020,37.0,8.25,1.7095352,263.0364,0,6.154327
2020,37.0,8.5,1.6864268,256.17926,0,6.071136
2020,37.0,8.75,1.5620335,282.4556,0,5.6233206
2020,37.0,9.0,1.3169286,279.94592,0,4.740943
2020,37.0,9.25,1.2052041,278.48004,0,4.3387346
2020,37.0,9.5,1.1808372,281.24673,0,4.2510138
2020,37.0,9.75,1.253461,283.64322,0,4.5124593
2020,37.0,10.0,1.3240231,259.34595,0,4.7664833
2020,37.0,10.25,1.7836914,266.5729,0,6.421289
2020,37.0,10.5,1.9250137,266.4484,0,6.930049
2020,37.0,10.75,1.8418345,264.34436,0,6.6306043
2020,37.0,11.0,1.5623326,265.41702,0,5.6243973
2020,37.0,11.25,1.8300098,269.13092,0,6.588035
2020,37.0,11.5,2.1496797,270.21414,0,7.738847
