year,latitude,longitude,wspd,wdir,number,wspd_kmh
2018,37.0,-9.0,4.325731,275.66666,0,15.572631
2018,37.0,-8.75,3.5152447,299.85843,0,12.654881
2018,37.0,-8.5,3.0720756,294.8312,0,11.059472
2018,37.0,-8.25,2.8447037,292.32333,0,10.240933
2018,37.0,-8.0,2.696923,287.2125,0,9.708922
2018,37.0,-7.75,2.5229077,276.21643,0,9.082468
2018,37.0,-7.5,2.5058763,270.10275,0,9.021154
2018,37.0,-7.25,2.5740132,264.272,0,9.266447
2018,37.0,-7.0,2.6668527,259.46988,0,9.60067
2018,37.0,-6.75,2.5550683,256.0656,0,9.198245
2018,37.0,-6.5,2.054198,250.1486,0,7.3951125
2018,37.0,-6.25,1.6838235,211.85608,0,6.0617642
2018,37.0,-6.0,1.3751417,199.27808,0,4.95051
2018,37.0,-5.75,1.2421709,193.84532,0,4.471815
2018,37.0,-5.5,1.2378792,193.43391,0,4.4563646
2018,37.0,-5.25,1.2221892,204.72112,0,4.399881
2018,37.0,-5.0,1.2679242,227.46541,0,4.564527
2018,37.0,-4.75,0.9235572,243.5738,0,3.324806
2018,37.0,-4.5,0.8194907,251.9167,0,2.9501662
2018,37.0,-4.25,0.7978265,197.02618,0,2.8721755
2018,37.0,-4.0,0.7992386,256.4798,0,2.877259
2018,37.0,-3.75,0.70670754,217.17268,0,2.544147
2018,37.0,-3.5,0.67799395,237.49174,0,2.4407783
2018,37.0,-3.25,0.6881822,278.4404,0,2.4774559
2018,37.0,-3.0,0.6687141,259.89243,0,2.4073708
2018,37.0,-2.75,0.6587512,238.79869,0,2.3715043
2018,37.0,-2.5,0.74588877,226.10219,0,2.6851995
2018,37.0,-2.25,0.86919886,220.59283,0,3.1291158
2018,37.0,-2.0,1.0674713,213.90254,0,3.8428965
2018,37.0,-1.75,1.5384623,213.7744,0,5.538464
2018,37.0,-1.5,1.7932867,213.7981,0,6.455832
2018,37.0,-1.25,1.927319,212.8207,0,6.9383483
2018,37.0,-1.0,2.037743,210.53212,0,7.335875
2018,37.0,-0.75,2.155855,205.8615,0,7.7610774
2018,37.0,-0.5,2.252298,201.5541,0,8.108273
2018,37.0,-0.25,2.3489637,200.6449,0,8.456269
2018,37.0,0.0,2.444395,198.44875,0,8.799822
2018,37.0,0.25,2.5052223,196.53877,0,9.0188
2018,37.0,0.5,2.5963497,195.19585,0,9.346859
2018,37.0,0.75,2.6775663,193.84505,0,9.639238
2018,37.0,1.0,2.746631,193.62744,0,9.887871
2018,37.0,1.25,2.7113733,193.40552,0,9.760943
2018,37.0,1.5,2.6383853,193.37856,0,9.498187
2018,37.0,1.75,2.6043656,196.13855,0,9.375716
2018,37.0,2.0,2.5885952,170.67686,0,9.318942
2018,37.0,2.25,2.570667,172.13573,0,9.254401
2018,37.0,2.5,2.565626,173.19818,0,9.236253
2018,37.0,2.75,2.5334568,176.74779,0,9.120444
2018,37.0,3.0,2.4720633,153.37914,0,8.899427
2018,37.0,3.25,2.4617062,155.10748,0,8.862142
2018,37.0,3.5,2.4449449,156.01433,0,8.801802
2018,37.0,3.75,2.4279654,157.39804,0,8.740675
2018,37.0,4.0,2.3165522,163.52527,0,8.339587
2018,37.0,4.25,2.3658695,170.84332,0,8.51713
2018,37.0,4.5,2.3159053,174.3408,0,8.337259
2018,37.0,4.75,2.2214954,175.83607,0,7.997383
2018,37.0,5.0,2.172674,213.89105,0,7.821626
2018,37.0,5.25,2.2089698,152.53928,0,7.952291
2018,37.0,5.5,2.138546,181.54211,0,7.6987653
2018,37.0,5.75,2.0250733,184.2044,0,7.2902637
2018,37.0,6.0,1.7622428,186.23409,0,6.344074
2018,37.0,6.25,1.3244622,215.61598,0,4.7680635
2018,37.0,6.5,1.3191124,219.61247,0,4.7488046
2018,37.0,6.75,1.5379337,221.6624,0,5.536561
2018,37.0,7.0,1.8485826,222.67296,0,6.654897
2018,37.0,7.25,1.5736126,221.37093,0,5.665005
2018,37.0,7.5,1.4717847,219.88184,0,5.2984247
2018,37.0,7.75,1.5680748,218.97359,0,5.645069
2018,37.0,8.0,1.9521009,248.82697,0,7.027563
2018,37.0,8.25,2.1907434,270.22757,0,7.8866763
2018,37.0,8.5,2.2188587,288.31357,0,7.987891
2018,37.0,8.75,2.0824707,281.29883,0,7.4968944
2018,37.0,9.0,1.7511097,277.53763,0,6.3039947
2018,37.0,9.25,1.601593,276.6012,0,5.7657347
2018,37.0,9.5,1.573072,278.8496,0,5.6630588
2018,37.0,9.75,1.6827685,273.62878,0,6.057966
2018,37.0,10.0,1.8364129,276.6133,0,6.6110864
2018,37.0,10.25,2.40613,277.90823,0,8.662068
2018,37.0,10.5,2.535838,276.80368,0,9.129016
2018,37.0,10.75,2.390584,274.92563,0,8.606102
2018,37.0,11.0,2.0771825,272.61472,0,7.477857
2018,37.0,11.25,2.4447343,272.72192,0,8.8010435
2018,37.0,11.5,2.823393,272.14322,0,10.164215
2018,37.0,11.75,2.9698627,271.32712,0,10.691505
2018,37.0,12.0,2.9400597,269.87103,0,10.584214
2018,36.75,-9.0,4.540732,277.3801,0,16.346634
2018,36.75,-8.75,4.2352333,273.54263,0,15.24684
2018,36.75,-8.5,3.766297,270.02667,0,13.558669
2018,36.75,-8.25,3.4242792,267.17322,0,12.327405
2018,36.75,-8.0,3.1781137,235.38898,0,11.441209
2018,36.75,-7.75,2.9810028,261.13187,0,10.73161
2018,36.75,-7.5,2.8315065,238.40381,0,10.193423
2018,36.75,-7.25,2.8098137,239.39563,0,10.115329
2018,36.75,-7.0,2.7917309,264.00845,0,10.050231
2018,36.75,-6.75,2.6773636,255.50623,0,9.638509
2018,36.75,-6.5,2.1379862,246.35988,0,7.69675
2018,36.75,-6.25,1.5403953,197.9684,0,5.5454226
2018,36.75,-6.0,1.2950548,182.38737,0,4.662197
2018,36.75,-5.75,1.1879194,184.51038,0,4.27651
2018,36.75,-5.5,1.0418869,195.12468,0,3.7507927
2018,36.75,-5.25,1.0238672,206.4009,0,3.685922
2018,36.75,-5.0,0.9810905,228.47664,0,3.5319257
2018,36.75,-4.75,0.84390074,251.49445,0,3.0380425
2018,36.75,-4.5,0.92916745,230.50813,0,3.3450027
2018,36.75,-4.25,1.3288801,233.07362,0,4.783968
2018,36.75,-4.0,1.5538691,236.15375,0,5.593929
2018,36.75,-3.75,1.466678,240.31383,0,5.2800407
2018,36.75,-3.5,1.5071014,239.78767,0,5.425565
2018,36.75,-3.25,1.5889888,231.91487,0,5.7203593
2018,36.75,-3.0,1.627575,225.69946,0,5.85927
2018,36.75,-2.75,1.6593338,216.0775,0,5.973602
2018,36.75,-2.5,1.7431054,212.92682,0,6.2751794
2018,36.75,-2.25,1.8520476,203.87958,0,6.6673713
2018,36.75,-2.0,1.9806432,207.24174,0,7.1303153
2018,36.75,-1.75,2.2213457,238.32323,0,7.9968443
2018,36.75,-1.5,2.218215,234.06677,0,7.985574
2018,36.75,-1.25,2.3418822,232.33734,0,8.430776
