year,latitude,longitude,wspd,wdir,number,wspd_kmh
2023,37.0,-9.0,3.9985988,281.03897,0,14.394956
2023,37.0,-8.75,3.266901,274.05374,0,11.760843
2023,37.0,-8.5,2.858473,268.38672,0,10.290503
2023,37.0,-8.25,2.6376774,265.64478,0,9.495639
2023,37.0,-8.0,2.4414787,263.34134,0,8.789323
2023,37.0,-7.75,2.2052372,257.24326,0,7.9388537
2023,37.0,-7.5,2.1602602,251.9275,0,7.7769365
2023,37.0,-7.25,2.2034743,246.89467,0,7.932507
2023,37.0,-7.0,2.2792974,241.90898,0,8.20547
2023,37.0,-6.75,2.171561,237.95471,0,7.8176193
2023,37.0,-6.5,1.7218181,233.68481,0,6.198545
2023,37.0,-6.25,1.3786577,228.89038,0,4.9631677
2023,37.0,-6.0,1.0575088,224.30603,0,3.8070316
2023,37.0,-5.75,0.9233368,187.27516,0,3.3240125
2023,37.0,-5.5,0.93510795,208.24266,0,3.3663886
2023,37.0,-5.25,0.98729604,204.49171,0,3.5542657
2023,37.0,-5.0,1.0886134,217.89403,0,3.919008
2023,37.0,-4.75,0.8191853,229.82985,0,2.949067
2023,37.0,-4.5,0.76769775,213.0533,0,2.763712
2023,37.0,-4.25,0.73927164,222.00764,0,2.661378
2023,37.0,-4.0,0.76264113,263.09113,0,2.745508
2023,37.0,-3.75,0.7317602,243.4882,0,2.6343367
2023,37.0,-3.5,0.7171052,242.16032,0,2.5815787
2023,37.0,-3.25,0.6747219,260.03137,0,2.4289987
2023,37.0,-3.0,0.6076408,241.95122,0,2.187507
2023,37.0,-2.75,0.5514669,221.52946,0,1.9852808
2023,37.0,-2.5,0.6154188,176.0846,0,2.2155075
2023,37.0,-2.25,0.7453062,163.57843,0,2.6831021
2023,37.0,-2.0,1.081525,146.88069,0,3.8934898
2023,37.0,-1.75,1.6439935,142.87416,0,5.9183764
2023,37.0,-1.5,1.9512396,141.57347,0,7.024462
2023,37.0,-1.25,2.038173,142.60155,0,7.3374224
2023,37.0,-1.0,2.0868378,143.75519,0,7.5126157
2023,37.0,-0.75,2.1993723,145.40614,0,7.91774
2023,37.0,-0.5,2.2951612,145.52061,0,8.26258
2023,37.0,-0.25,2.3770227,145.67786,0,8.5572815
2023,37.0,0.0,2.47457,146.27058,0,8.908452
