year,latitude,longitude,wspd,wdir,number,wspd_kmh
2022,37.0,-9.0,3.6192713,272.681,0,13.029376
2022,37.0,-8.75,2.9859707,265.52505,0,10.749495
2022,37.0,-8.5,2.637006,228.93224,0,9.493221
2022,37.0,-8.25,2.4483306,225.3421,0,8.81399
2022,37.0,-8.0,2.2924411,222.33748,0,8.252788
2022,37.0,-7.75,2.0891187,215.42073,0,7.5208273
2022,37.0,-7.5,2.045104,208.14056,0,7.3623743
2022,37.0,-7.25,2.0917976,230.83794,0,7.5304713
2022,37.0,-7.0,2.1823537,218.5254,0,7.8564734
2022,37.0,-6.75,2.1041324,214.20197,0,7.5748763
2022,37.0,-6.5,1.6969017,208.98607,0,6.1088457
2022,37.0,-6.25,1.3994833,203.48859,0,5.03814
2022,37.0,-6.0,1.1696168,194.6814,0,4.2106204
2022,37.0,-5.75,1.1757404,191.33199,0,4.232665
2022,37.0,-5.5,1.2774553,189.37196,0,4.5988393
2022,37.0,-5.25,1.3584585,190.20074,0,4.8904505
2022,37.0,-5.0,1.389901,196.813,0,5.0036435
2022,37.0,-4.75,1.090577,200.36967,0,3.9260771
2022,37.0,-4.5,0.8862763,198.1959,0,3.1905947
2022,37.0,-4.25,0.722109,196.716,0,2.5995924
2022,37.0,-4.0,0.63232136,212.00642,0,2.276357
2022,37.0,-3.75,0.5774868,192.34865,0,2.0789526
2022,37.0,-3.5,0.5822996,199.65886,0,2.0962784
2022,37.0,-3.25,0.6187263,194.82307,0,2.2274146
2022,37.0,-3.0,0.57372326,211.86238,0,2.0654037
2022,37.0,-2.75,0.57415724,167.7707,0,2.066966
2022,37.0,-2.5,0.6772096,148.84337,0,2.4379547
2022,37.0,-2.25,0.833513,133.92747,0,3.0006468
2022,37.0,-2.0,1.2122713,129.07094,0,4.3641768
2022,37.0,-1.75,1.8611182,129.58298,0,6.7000256
2022,37.0,-1.5,2.2216933,130.41554,0,7.9980955
2022,37.0,-1.25,2.3214881,132.1965,0,8.357357
2022,37.0,-1.0,2.3436053,134.65689,0,8.436978
2022,37.0,-0.75,2.3916948,135.8429,0,8.610101
2022,37.0,-0.5,2.4148636,137.09056,0,8.693509
2022,37.0,-0.25,2.4323003,138.09993,0,8.756281
2022,37.0,0.0,2.4492292,138.51402,0,8.817225
2022,37.0,0.25,2.4322484,138.79927,0,8.756094
2022,37.0,0.5,2.448336,138.96463,0,8.814009
2022,37.0,0.75,2.4534166,138.88881,0,8.832299
2022,37.0,1.0,2.459238,139.63644,0,8.853257
2022,37.0,1.25,2.4119956,138.54199,0,8.683184
2022,37.0,1.5,2.367604,137.21364,0,8.523375
2022,37.0,1.75,2.3627696,136.98576,0,8.50597
2022,37.0,2.0,2.3787549,138.07584,0,8.563518
2022,37.0,2.25,2.3694222,138.43782,0,8.52992
2022,37.0,2.5,2.3813145,137.76689,0,8.572732
2022,37.0,2.75,2.3584855,135.98044,0,8.490547
2022,37.0,3.0,2.2945254,135.40996,0,8.260291
2022,37.0,3.25,2.221749,136.59773,0,7.9982963
2022,37.0,3.5,2.1067946,137.37146,0,7.5844603
2022,37.0,3.75,1.9903063,136.5535,0,7.1651025
2022,37.0,4.0,1.7843003,137.99666,0,6.423481
2022,37.0,4.25,1.7916346,178.638,0,6.4498844
2022,37.0,4.5,1.7251506,182.4295,0,6.2105417
2022,37.0,4.75,1.6269522,208.67531,0,5.8570275
2022,37.0,5.0,1.6241242,208.02003,0,5.846847
2022,37.0,5.25,1.7036005,206.19269,0,6.1329618
2022,37.0,5.5,1.6801782,201.25365,0,6.048641
2022,37.0,5.75,1.626194,194.1988,0,5.854298
2022,37.0,6.0,1.4812683,189.54022,0,5.332566
2022,37.0,6.25,1.1409452,190.95384,0,4.107403
2022,37.0,6.5,1.1549511,188.73138,0,4.157824
2022,37.0,6.75,1.3524343,248.0551,0,4.8687634
2022,37.0,7.0,1.6694409,248.38033,0,6.009987
2022,37.0,7.25,1.4435698,217.81036,0,5.1968513
2022,37.0,7.5,1.3597007,218.50078,0,4.8949223
2022,37.0,7.75,1.4677348,219.58952,0,5.2838454
2022,37.0,8.0,1.8354772,220.96205,0,6.607718
2022,37.0,8.25,2.0033646,243.43236,0,7.2121124
2022,37.0,8.5,2.0091355,236.01122,0,7.2328877
2022,37.0,8.75,1.863388,261.6621,0,6.7081966
