year,latitude,longitude,wspd,wdir,number,wspd_kmh
2024,37.0,-9.0,4.098597,270.9966,0,14.754949
2024,37.0,-8.75,3.3826983,264.3998,0,12.177713
2024,37.0,-8.5,2.9624197,258.5054,0,10.664711
2024,37.0,-8.25,2.704385,255.44933,0,9.7357855
2024,37.0,-8.0,2.4532146,250.7426,0,8.831573
2024,37.0,-7.75,2.141043,241.98924,0,7.7077546
2024,37.0,-7.5,2.0776575,233.78279,0,7.4795666
2024,37.0,-7.25,2.1674194,227.10472,0,7.8027096
2024,37.0,-7.0,2.3470871,221.83087,0,8.449513
2024,37.0,-6.75,2.3378408,217.66411,0,8.416226
2024,37.0,-6.5,1.9382583,212.12506,0,6.97773
2024,37.0,-6.25,1.6241168,201.49928,0,5.8468204
2024,37.0,-6.0,1.3304399,206.71759,0,4.7895837
2024,37.0,-5.75,1.2958136,201.78258,0,4.664929
2024,37.0,-5.5,1.3313588,200.9521,0,4.7928915
2024,37.0,-5.25,1.2825967,202.94385,0,4.617348
2024,37.0,-5.0,1.1963342,207.37627,0,4.306803
2024,37.0,-4.75,0.7844987,203.39037,0,2.8241951
2024,37.0,-4.5,0.5711882,196.74489,0,2.0562775
2024,37.0,-4.25,0.50883967,207.70251,0,1.8318228
2024,37.0,-4.0,0.5942674,238.59077,0,2.1393626
2024,37.0,-3.75,0.5704563,220.99525,0,2.0536427
2024,37.0,-3.5,0.59921587,244.11462,0,2.157177
2024,37.0,-3.25,0.6461089,227.25758,0,2.325992
2024,37.0,-3.0,0.6068979,265.37204,0,2.1848323
2024,37.0,-2.75,0.5194246,218.12276,0,1.8699286
2024,37.0,-2.5,0.56278175,192.88298,0,2.0260143
2024,37.0,-2.25,0.6947207,179.7196,0,2.5009944
2024,37.0,-2.0,0.9063535,137.60712,0,3.2628725
2024,37.0,-1.75,1.2926732,134.91386,0,4.6536236
2024,37.0,-1.5,1.5271616,134.36551,0,5.4977818
2024,37.0,-1.25,1.6055824,139.97597,0,5.7800965
2024,37.0,-1.0,1.6548876,142.12299,0,5.957595
2024,37.0,-0.75,1.7074122,142.54092,0,6.1466837
2024,37.0,-0.5,1.7375034,142.4067,0,6.255012
2024,37.0,-0.25,1.758813,142.09044,0,6.3317266
2024,37.0,0.0,1.8091348,170.3895,0,6.512885
2024,37.0,0.25,1.8472875,169.58023,0,6.650235
2024,37.0,0.5,1.8960098,170.10008,0,6.825635
2024,37.0,0.75,1.9329702,170.36775,0,6.9586926
2024,37.0,1.0,1.9485172,171.47508,0,7.014662
2024,37.0,1.25,1.9126056,171.75478,0,6.8853803
