year,latitude,longitude,wspd,wdir,number,wspd_kmh
2025,37.0,-9.0,3.8740032,315.93378,0,13.946411
2025,37.0,-8.75,3.0641637,307.5274,0,11.030989
2025,37.0,-8.5,2.5560575,300.16345,0,9.201807
2025,37.0,-8.25,2.2380972,296.76218,0,8.05715
2025,37.0,-8.0,1.9915395,294.71722,0,7.169542
2025,37.0,-7.75,1.796495,284.96567,0,6.4673815
2025,37.0,-7.5,1.7622874,276.72598,0,6.3442345
2025,37.0,-7.25,1.8462263,268.55844,0,6.6464148
2025,37.0,-7.0,2.0121515,262.86197,0,7.2437453
2025,37.0,-6.75,2.0315025,261.0804,0,7.313409
2025,37.0,-6.5,1.6434575,256.73804,0,5.916447
2025,37.0,-6.25,1.3393948,249.59863,0,4.821821
2025,37.0,-6.0,1.1001363,230.7586,0,3.9604905
2025,37.0,-5.75,1.1367183,219.74338,0,4.0921855
2025,37.0,-5.5,1.1351659,209.58064,0,4.0865974
2025,37.0,-5.25,1.1044128,200.32892,0,3.9758859
2025,37.0,-5.0,1.1194719,200.30618,0,4.030099
2025,37.0,-4.75,0.7962374,192.80035,0,2.8664546
2025,37.0,-4.5,0.60300505,197.57352,0,2.170818
2025,37.0,-4.25,0.48095158,207.53468,0,1.7314256
2025,37.0,-4.0,0.5131846,225.1125,0,1.8474646
2025,37.0,-3.75,0.47376156,230.19911,0,1.7055416
2025,37.0,-3.5,0.48477924,227.60728,0,1.7452052
2025,37.0,-3.25,0.54683614,257.24686,0,1.96861
2025,37.0,-3.0,0.52943546,238.77249,0,1.9059676
2025,37.0,-2.75,0.47241396,223.50838,0,1.7006902
2025,37.0,-2.5,0.5144919,171.26895,0,1.8521708
2025,37.0,-2.25,0.5891817,160.20476,0,2.1210542
2025,37.0,-2.0,0.8155622,113.776535,0,2.9360237
2025,37.0,-1.75,1.2221645,106.87697,0,4.399792
2025,37.0,-1.5,1.4611306,101.36388,0,5.2600703
2025,37.0,-1.25,1.5463585,94.86152,0,5.5668902
2025,37.0,-1.0,1.6148226,91.41287,0,5.813361
2025,37.0,-0.75,1.6949261,94.36845,0,6.101734
2025,37.0,-0.5,1.7699333,97.04318,0,6.37176
2025,37.0,-0.25,1.8426119,100.51688,0,6.633403
2025,37.0,0.0,1.9345114,106.58466,0,6.964241
2025,37.0,0.25,2.0038683,113.39269,0,7.213926
2025,37.0,0.5,2.0635417,120.320015,0,7.4287496
2025,37.0,0.75,2.1087756,125.860054,0,7.591592
2025,37.0,1.0,2.1221647,130.60878,0,7.639793
2025,37.0,1.25,2.07899,131.8048,0,7.4843636
2025,37.0,1.5,2.0512452,130.96188,0,7.3844824
2025,37.0,1.75,2.0501263,129.40704,0,7.3804545
2025,37.0,2.0,2.0659132,125.743004,0,7.4372873
2025,37.0,2.25,2.055087,119.47742,0,7.3983135
2025,37.0,2.5,2.0881824,112.59113,0,7.5174565
2025,37.0,2.75,2.1153271,107.82897,0,7.6151776
2025,37.0,3.0,2.123538,111.64737,0,7.644737
2025,37.0,3.25,2.1554022,117.26241,0,7.7594476
2025,37.0,3.5,2.1378748,122.20456,0,7.696349
2025,37.0,3.75,2.1056626,127.62392,0,7.580385
2025,37.0,4.0,2.0054636,137.40561,0,7.219669
2025,37.0,4.25,2.0446193,147.77289,0,7.3606296
2025,37.0,4.5,1.9375354,155.29733,0,6.975127
2025,37.0,4.75,1.7613555,161.1922,0,6.34088
2025,37.0,5.0,1.6406922,159.6364,0,5.9064918
2025,37.0,5.25,1.6874938,155.95973,0,6.0749774
2025,37.0,5.5,1.6301662,150.80353,0,5.868598
2025,37.0,5.75,1.5320436,148.50803,0,5.5153565
2025,37.0,6.0,1.3114674,149.72337,0,4.7212825
2025,37.0,6.25,0.9319174,149.20271,0,3.3549027
2025,37.0,6.5,0.85288507,180.64984,0,3.0703862
2025,37.0,6.75,1.0038791,176.01755,0,3.6139646
2025,37.0,7.0,1.2344706,175.75356,0,4.444094
2025,37.0,7.25,1.0505307,174.37573,0,3.7819104
2025,37.0,7.5,1.008931,174.16565,0,3.6321516
2025,37.0,7.75,1.1025465,214.51091,0,3.9691672
2025,37.0,8.0,1.3541392,216.42679,0,4.874901
2025,37.0,8.25,1.3194432,242.54509,0,4.7499957
2025,37.0,8.5,1.2585734,230.27596,0,4.5308642
2025,37.0,8.75,1.1689494,256.94028,0,4.2082176
2025,37.0,9.0,1.041187,286.4876,0,3.7482734
2025,37.0,9.25,0.95818967,283.17877,0,3.4494827
2025,37.0,9.5,0.9375526,289.62704,0,3.375189
2025,37.0,9.75,0.9691662,298.58456,0,3.4889984
2025,37.0,10.0,0.9707043,225.44794,0,3.4945354
2025,37.0,10.25,1.2407093,230.07243,0,4.466553
2025,37.0,10.5,1.2971874,225.05077,0,4.6698747
2025,37.0,10.75,1.2134672,295.65787,0,4.368482
2025,37.0,11.0,1.0348643,282.3904,0,3.7255113
2025,37.0,11.25,1.2402751,283.42215,0,4.4649906
2025,37.0,11.5,1.4907935,284.39972,0,5.3668566
2025,37.0,11.75,1.6310697,284.12192,0,5.8718505
2025,37.0,12.0,1.6698833,282.3162,0,6.0115795
2025,36.75,-9.0,4.061003,317.42834,0,14.619611
2025,36.75,-8.75,3.6675482,311.23523,0,13.203173
2025,36.75,-8.5,3.138933,305.2433,0,11.3001585
2025,36.75,-8.25,2.7338145,299.05545,0,9.841732
2025,36.75,-8.0,2.4110582,295.07513,0,8.67981
2025,36.75,-7.75,2.1847296,289.0447,0,7.8650265
2025,36.75,-7.5,1.9676505,284.84644,0,7.083542
2025,36.75,-7.25,1.9490675,278.34705,0,7.0166426
2025,36.75,-7.0,1.9757544,271.2733,0,7.1127157
2025,36.75,-6.75,1.9371266,260.80115,0,6.9736557
2025,36.75,-6.5,1.5240773,250.36447,0,5.486678
