year,latitude,longitude,wspd,wdir,number,wspd_kmh
2021,37.0,-9.0,4.1459994,277.98984,0,14.925597
2021,37.0,-8.75,3.3277817,271.98453,0,11.980014
2021,37.0,-8.5,2.8461676,266.98892,0,10.246203
2021,37.0,-8.25,2.5765483,263.96036,0,9.275574
2021,37.0,-8.0,2.3142233,259.74393,0,8.331203
2021,37.0,-7.75,2.0592227,251.14787,0,7.4132013
2021,37.0,-7.5,2.0055602,243.99846,0,7.2200165
2021,37.0,-7.25,2.0521476,267.2474,0,7.387731
2021,37.0,-7.0,2.143335,261.06888,0,7.7160063
2021,37.0,-6.75,2.074011,257.145,0,7.4664397
2021,37.0,-6.5,1.6855658,253.04198,0,6.068037
2021,37.0,-6.25,1.3756871,247.6779,0,4.9524736
2021,37.0,-6.0,1.0916789,236.2602,0,3.9300437
2021,37.0,-5.75,1.026832,192.76624,0,3.696595
2021,37.0,-5.5,1.0569772,190.60847,0,3.8051176
2021,37.0,-5.25,1.0827063,203.07422,0,3.8977427
2021,37.0,-5.0,1.1287013,207.33289,0,4.0633245
2021,37.0,-4.75,0.82045144,208.95204,0,2.9536252
2021,37.0,-4.5,0.67773056,224.26622,0,2.43983
2021,37.0,-4.25,0.6145156,206.01076,0,2.2122562
2021,37.0,-4.0,0.65441775,249.79262,0,2.3559039
2021,37.0,-3.75,0.5944033,236.30818,0,2.1398518
2021,37.0,-3.5,0.5985588,235.49773,0,2.1548116
2021,37.0,-3.25,0.6260645,256.05472,0,2.253832
2021,37.0,-3.0,0.5847963,240.05043,0,2.1052666
2021,37.0,-2.75,0.5330104,201.47636,0,1.9188374
2021,37.0,-2.5,0.5897347,173.12238,0,2.1230447
2021,37.0,-2.25,0.7231776,157.00238,0,2.6034393
2021,37.0,-2.0,0.96845555,144.69377,0,3.48644
2021,37.0,-1.75,1.4199651,138.1208,0,5.1118746
2021,37.0,-1.5,1.6917601,134.71107,0,6.090336
2021,37.0,-1.25,1.8186244,130.16273,0,6.5470476
2021,37.0,-1.0,1.9105574,127.26922,0,6.8780065
2021,37.0,-0.75,2.0182173,127.59647,0,7.265582
2021,37.0,-0.5,2.123991,127.8117,0,7.6463675
2021,37.0,-0.25,2.2185729,129.29642,0,7.986862
2021,37.0,0.0,2.3443139,132.14214,0,8.439529
2021,37.0,0.25,2.4292872,134.25511,0,8.745434
2021,37.0,0.5,2.5230057,135.81624,0,9.08282
2021,37.0,0.75,2.6105554,136.58418,0,9.397999
2021,37.0,1.0,2.6905887,136.70103,0,9.686119
